,Sa2,Year,regionName,score,bonus_collab,core_bonus_score_ratio
0,303021053,2017,Coorparoo,139,1,0.007194245
0,207021159,2017,Templestowe,139,0,0
0,207021157,2017,Doncaster,139,1,0.007194245
0,111031228,2017,Merewether - The Junction,138,0,0
0,316041433,2017,Noosa Hinterland,138,0,0
0,505011072,2017,Duncraig,138,0,0
0,309021234,2017,Palm Beach,138,0,0
0,207031163,2017,Box Hill,138,6,0.043478261
0,107011134,2017,Unanderra - Mount Kembla,137,4,0.02919708
0,208031190,2017,Mentone,137,2,0.01459854
0,212011289,2017,Emerald - Cockatoo,136,0,0
0,115011290,2017,Baulkham Hills (East),136,0,0
0,211031267,2017,Ringwood East,136,2,0.014705882
0,122031430,2017,Manly Vale - Allambie Heights,136,0,0
0,401051019,2017,St Peters - Marden,135,2,0.014814815
0,206051129,2017,Elwood,134,0,0
0,123021440,2017,Ingleburn - Denham Court,134,0,0
0,208011168,2017,Beaumaris,134,0,0
0,309031240,2017,Runaway Bay,133,1,0.007518797
0,125011474,2017,Lidcombe - Regents Park,133,4,0.030075188
0,211031266,2017,Ringwood,133,1,0.007518797
0,401021004,2017,Aldgate - Stirling,133,3,0.022556391
0,213021346,2017,Williamstown,132,2,0.015151515
0,119011353,2017,Bankstown,132,0,0
0,506021122,2017,Rivervale - Kewdale - Cloverdale,132,2,0.015151515
0,503021038,2017,Mount Hawthorn - Leederville,131,3,0.022900763
0,309011226,2017,Burleigh Waters,130,0,0
0,506031129,2017,Riverton - Shelley - Rossmoyne,130,0,0
0,305021114,2017,Bulimba,130,0,0
0,503011030,2017,City Beach,130,0,0
0,212021297,2017,Hallam,130,7,0.053846154
0,214021380,2017,Mornington,129,0,0
0,111011208,2017,Charlestown - Dudley,129,0,0
0,212051322,2017,Glen Waverley - West,129,4,0.031007752
0,305031128,2017,Newstead - Bowen Hills,129,1,0.007751938
0,112031254,2017,Tweed Heads,129,0,0
0,801061065,2017,Kingston - Barton,129,29,0.224806202
0,110011186,2017,Armidale,128,17,0.1328125
0,506071145,2017,Como,128,0,0
0,108041163,2017,Port Macquarie - East,128,0,0
0,212041317,2017,Springvale,128,0,0
0,206071139,2017,Abbotsford,127,6,0.047244094
0,111011209,2017,Glendale - Cardiff - Hillsborough,127,0,0
0,304021090,2017,Kenmore,127,2,0.015748031
0,126021503,2017,West Ryde - Meadowbank,127,0,0
0,311051325,2017,Loganholme - Tanah Merah,127,0,0
0,303031060,2017,Eight Mile Plains,126,2,0.015873016
0,118011344,2017,Dover Heights,126,0,0
0,115011293,2017,Cherrybrook,125,0,0
0,212021293,2017,Berwick - North,125,0,0
0,206051134,2017,St Kilda East,125,0,0
0,402031036,2017,Enfield - Blair Athol,124,0,0
0,305011111,2017,Spring Hill,124,2,0.016129032
0,112011236,2017,Ballina,123,0,0
0,211041270,2017,Mitcham (Vic.),123,2,0.016260163
0,212051323,2017,Mount Waverley - North,123,0,0
0,209011197,2017,Greensborough,122,0,0
0,214011370,2017,Carrum Downs,122,2,0.016393443
0,212051321,2017,Glen Waverley - East,122,0,0
0,309101268,2017,Bundall,122,0,0
0,506041137,2017,Thornlie,122,0,0
0,122031427,2017,Forestville - Killarney Heights,122,0,0
0,214021385,2017,Somerville,122,2,0.016393443
0,210041241,2017,Sunbury - South,122,0,0
0,214011373,2017,Frankston South,122,0,0
0,206071140,2017,Carlton North - Princes Hill,122,4,0.032786885
0,208021174,2017,Bentleigh - McKinnon,121,0,0
0,309031239,2017,Paradise Point - Hollywell,121,0,0
0,403031068,2017,Colonel Light Gardens,121,2,0.016528926
0,505011077,2017,Joondalup - Edgewater,121,11,0.090909091
0,107041144,2017,Balgownie - Fairy Meadow,121,0,0
0,309011224,2017,Broadbeach Waters,120,2,0.016666667
0,212021298,2017,Narre Warren,120,0,0
0,117021327,2017,Petersham - Stanmore,120,0,0
0,127031525,2017,Liverpool - Warwick Farm,120,1,0.008333333
0,801071082,2017,Kambah,120,0,0
0,206051131,2017,Port Melbourne Industrial,120,4,0.033333333
0,505011079,2017,Mullaloo - Kallaroo,120,0,0
0,212031300,2017,Cranbourne,119,0,0
0,503011032,2017,Cottesloe,119,0,0
0,212041310,2017,Clayton South,119,4,0.033613445
0,206061135,2017,Armadale,119,0,0
0,119041382,2017,Sans Souci - Ramsgate,118,3,0.025423729
0,309041242,2017,Tamborine - Canungra,118,0,0
0,506021119,2017,East Victoria Park - Carlisle,118,0,0
0,311061332,2017,Rochedale South - Priestdale,117,0,0
0,125041488,2017,Girraween - Westmead,117,0,0
0,309071252,2017,Helensvale,117,0,0
0,317011456,2017,Toowoomba - Central,117,0,0
0,119041376,2017,Bexley,117,0,0
0,506041132,2017,Beckenham - Kenwick - Langford,116,0,0
0,112031255,2017,Tweed Heads - South,116,0,0
0,128021535,2017,Menai - Lucas Heights - Woronora,116,7,0.060344828
0,309031238,2017,Labrador,115,0,0
0,207021160,2017,Templestowe Lower,115,0,0
0,314011386,2017,Hills District,115,0,0
0,311061333,2017,Slacks Creek,115,0,0
0,115031300,2017,Kurrajong Heights - Ebenezer,115,0,0
0,316041431,2017,Eumundi - Yandina,114,0,0
