,0,1
355,506021122,2
357,125011473,1
358,125011474,4
359,214021379,0
361,112031254,0
362,319051524,4
363,214021381,0
366,121031408,0
367,303041068,2
368,303041069,2
369,303041070,7
370,122021423,3
371,309021232,0
373,214021385,2
374,213031348,0
378,101011005,1
379,602011046,0
380,506051138,0
381,201011002,0
383,305011110,4
384,111031223,1
385,304021090,2
386,211051277,4
387,206061136,1
388,206061137,2
389,206061138,3
390,212041315,3
393,102021049,1
394,309071255,0
395,212041310,4
396,212041311,14
397,402041046,1
398,304021089,0
399,212041314,44
401,305031120,0
402,305011111,2
403,405021116,0
404,316051434,0
405,301031021,2
406,105031101,0
410,120011383,18
411,120011386,1
414,309061246,0
415,404031104,5
416,404031106,0
417,404031107,8
418,210031236,0
419,404031109,7
422,117021326,3
423,209021208,2
424,118011344,0
426,306021145,6
427,121031409,1
428,505021084,1
429,303031066,1
430,505021086,0
431,213021344,0
432,107041144,0
433,213021346,2
434,505021091,1
435,402021029,4
436,402021030,0
437,101011002,1
438,505021096,0
439,402021033,1
440,402021034,3
442,309011229,0
443,316021424,0
445,211011251,1
446,211011252,2
447,211011253,0
448,211011254,4
449,208021175,0
450,208021176,0
452,211011258,0
453,208021182,0
454,110041205,0
457,108041163,0
458,401041014,0
459,212031304,0
461,509011234,0
462,211021261,0
463,211021262,0
465,503011031,0
467,503011035,18
468,115011292,0
469,125021477,4
470,206011105,3
471,206011106,10
473,402021035,0
475,117031329,8
476,305041132,0
477,305041133,1
478,308031214,12
479,305041135,2
480,305041136,1
481,305041137,1
482,203021042,11
483,121031411,5
484,121031412,0
485,308031223,2
486,314011384,0
487,211011257,0
488,314011386,0
490,207021157,1
491,112021248,2
492,123021440,0
493,316061442,0
494,127031525,1
495,316061444,4
498,801081098,1
499,111021215,0
501,211051278,0
502,506041133,0
503,211051280,0
504,211051281,0
506,303031060,2
507,309011224,2
508,309011225,0
509,122011418,2
510,122011419,0
511,301031019,0
512,403011057,0
513,507031173,2
515,306021156,0
516,127021518,0
517,106041126,2
518,126021497,1
521,119011357,1
522,403041074,1
523,110011186,17
524,509021242,1
525,119021364,8
526,119021366,3
527,119021367,0
528,206051128,2
529,206051130,1
530,206051131,4
531,206051132,27
532,206051133,0
533,121011399,0
534,201011007,1
535,209041216,2
536,209041217,9
538,209041220,6
539,209041221,2
540,301031017,4
541,128021535,7
542,209041225,9
543,304011082,0
544,304011083,1
545,304011084,0
546,301021007,0
548,125041489,0
549,125041490,4
550,125041491,32
551,125041492,7
552,215021397,1
553,116031318,3
554,504031063,0
557,318021467,1
558,504031068,0
559,403041082,4
563,318021474,2
564,201011003,0
566,401031013,6
570,507021164,0
571,507021165,1
572,507021166,2
573,507021167,1
574,210021232,0
575,210021233,0
576,318021490,2
577,207031161,43
578,117011322,4
579,207031163,6
580,117011324,2
581,126021501,28
582,126021502,2
583,126021503,0
585,122031424,0
586,101041026,0
587,506011115,0
588,505011077,11
590,122031425,2
591,213011336,6
592,505011082,0
593,122031426,1
594,503021037,1
596,601051027,0
597,601051028,0
599,316011414,3
600,123031447,4
601,316011416,0
602,303051076,0
603,401031011,0
604,204021066,3
606,208011169,0
607,208011171,0
608,208011172,3
610,114021286,1
611,503021041,26
613,213021341,0
614,401071023,0
615,401071024,1
617,404031108,32
618,310031284,6
619,313021365,2
621,111031224,0
622,111031225,0
623,118011341,0
624,111031227,1
625,111031228,0
627,124011454,0
628,111031231,14
629,309091264,0
630,111031233,0
631,309091266,1
632,211041270,2
634,212031308,0
635,317011447,1
636,504031066,0
637,126021498,1
639,117011321,0
641,305031122,0
642,305031124,4
643,305031126,3
644,217021433,2
645,305031128,1
646,120031396,0
647,121021403,0
648,121021405,4
649,121021406,3
650,505021093,1
652,125041488,0
654,213051363,12
655,213051368,1
656,112011241,2
